juice,ohms
4,4860
5,5860
5.5,6650
7.5,7050
8.5,5960
8.5,6750
8.5,7650
9,6900
9,9850
9.5,6650
10,6250
10,7600
10,7900
10.5,6150
10.5,7150
11.5,6700
11.5,7900
12,5800
12.5,7050
13,9000
13.5,7350
13.5,6650
13.5,6950
14,6650
14,5700
14.5,7900
15,6500
16,4850
16.5,5600
16.5,6300
17.5,7150
17.5,5900
19,3900
20,7500
20.5,8500
21.5,5600
21.5,6950
21.5,7200
23.5,5750
24,6900
24.5,4100
28,6700
28.5,3900
30,3500
30,3150
30.5,3200
30.5,2500
31.5,3350
31.5,3700
31.5,4200
32,3850
32.5,3850
32.5,400
35,3000
35,4150
36.5,3200
36.5,5400
37.5,2800
37.5,2550
38,4150
39.5,4150
40,2950
40,2700
41,4400
41,4250
41.5,4100
41.5,3350
42.5,2700
43,2750
43,3150
43,3250
43,2300
43.5,1500
43.5,3750
44,1850
44,3550
44.5,3900
44.5,3550
44.5,3100
44.5,2700
45,3650
45,3500
45,2950
45,3650
45,3150
45,2650
45.5,3000
46,3000
46,4850
46.5,3550
46.5,3150
47,3500
47.5,3000
47.5,1950
48,3150
48,2400
48,2350
48,1900
49,2050
49.5,3350
49.5,3700
50.5,3550
50.5,2950
50.5,2900
51.5,3550
51.5,3500
52,4350
52.5,4050
52.5,2750
53,3150
53,3350
53.5,3300
53.5,3150
53.5,2450
54,3350
54,3850
54,2650
55.5,2450
55.5,3000
56,2550
57,3350
58,2150
58.5,3350
58.5,3650
58.5,3750
58.5,4550
59.5,3300
60,3600
